player_qid,player_name,team_qid,team_name,start_date,start_year,era
Q3574236,"Yvonne Tracy",Q1775265,"Arsenal W.F.C.",2000-01-01,2000,2000-2005
Q4755015,"Andrea Chiopris Gori",Q1387710,"F.C. Südtirol",2001-01-01,2001,2000-2005
Q18018385,"Angela Migliazza",Q2205558,"SC Sand",2001-01-01,2001,2000-2005
Q16196629,"Brendan O'Connell",Q5290448,"Rossendale United F.C.",2001-01-01,2001,2000-2005
Q2470385,"Cristian Gabriel Chávez",Q7156,"Futbol Club Barcelona",2001-01-01,2001,2000-2005
Q5224807,"Darren Bradshaw",Q18308,"Worksop Town F.C.",2001-01-01,2001,2000-2005
Q1176696,"David Speedie",Q5223999,"Darlington Railway Athletic F.C.",2001-01-01,2001,2000-2005
Q5522858,"Gareth Hall",Q2028870,"Havant & Waterlooville F.C.",2001-01-01,2001,2000-2005
Q5563504,"Giorgio Santarelli",Q298217,"U.S. Avellino 1912",2001-01-01,2001,2000-2005
Q6146713,"Jamie Cassidy",Q18310,"Burscough F.C.",2001-01-01,2001,2000-2005
Q6397454,"Kevin Scott",Q5187774,"Crook Town A.F.C.",2001-01-01,2001,2000-2005
Q6446940,"Kurt Nogan",Q5213324,"Tiverton Town F.C.",2001-01-01,2001,2000-2005
Q3091295,"Ludivine Diguelman",Q3085161,"Montpellier HSC",2001-01-01,2001,2000-2005
Q1848778,"Marcos de Paula",Q2037,"AC ChievoVerona",2001-01-01,2001,2000-2005
Q6849281,"Mike Williams",Q18308,"Worksop Town F.C.",2001-01-01,2001,2000-2005
Q6968419,"Natascha Celouch",Q686676,"SV Neulengbach",2001-01-01,2001,2000-2005
Q10448831,"Neil Teggart",Q18739,"Sunderland A.F.C.",2001-01-01,2001,2000-2005
Q774704,"Nelly Guilbert",Q492372,"FCF Juvisy",2001-01-01,2001,2000-2005
Q63420340,"Nicolle Martens",Q2057034,"RKVV DEM",2001-01-01,2001,2000-2005
Q7099174,"Or Erez",Q3274132,"Maccabi Holon F.C.",2001-01-01,2001,2000-2005
Q7613188,"Steve Lovell",Q5213294,"Sittingbourne F.C.",2001-01-01,2001,2000-2005
Q7626307,"Stuart Barfoot",Q4972778,"Brockenhurst F.C.",2001-01-01,2001,2000-2005
Q7804333,"Tim Steele",Q18493,"Sutton Coldfield Town F.C.",2001-01-01,2001,2000-2005
Q7932241,"Vincenzo Maiolo",Q289656,"A.C. Prato",2001-01-01,2001,2000-2005
Q4754990,"Andrea Budošová",Q194393,"SK Slavia Prague",2002-01-01,2002,2000-2005
Q4754990,"Andrea Budošová",Q3459690,"SK Slavia Praha",2002-01-01,2002,2000-2005
Q4766467,"Ann Iren Mørkved",Q1974245,"Rosenborg BK Kvinner",2002-01-01,2002,2000-2005
Q4913339,"Billy Stewart",Q18297,"Marine F.C.",2002-01-01,2002,2000-2005
Q5107210,"Chris Leadbitter",Q18306,"Whitby Town F.C.",2002-01-01,2002,2000-2005
Q5202462,"Cédric Vernier",Q2401577,"ÉDS Montluçon",2002-01-01,2002,2000-2005
Q2109447,"Davy Oyen",Q19490,"Nottingham Forest F.C.",2002-01-01,2002,2000-2005
Q1223425,"Dietmar Hummel",Q319548,"FC Rastatt 04",2002-01-01,2002,2000-2005
Q5484441,"Franck Turpin",Q116332,"Gap FC",2002-01-01,2002,2000-2005
Q719809,"Frode Kippe",Q214374,"Lillestrøm SK",2002-01-01,2002,2000-2005
Q5534269,"Geoff Pitcher",Q2028870,"Havant & Waterlooville F.C.",2002-01-01,2002,2000-2005
Q1509942,"Gerald Klews",Q877181,"Hoyerswerdaer FC",2002-01-01,2002,2000-2005
Q5648709,"Hanna Konsek",Q1547981,"RTP Unia Racibórz",2002-01-01,2002,2000-2005
Q31828411,"Jason Barnett",Q18479,"Lincoln United F.C.",2002-01-01,2002,2000-2005
Q6162662,"Jason Harris",Q2219286,"Harrogate Town A.F.C.",2002-01-01,2002,2000-2005
Q6212322,"Joe Sheerin",Q48851,"AFC Wimbledon",2002-01-01,2002,2000-2005
Q6743085,"Malene Olsen",Q2748082,"Brøndby IF",2002-01-01,2002,2000-2005
Q60615,"Marcos Roberto Pereira dos Santos",Q1102961,"CA Bizertine",2002-01-01,2002,2000-2005
Q1901472,"Markus Feldhoff",Q157464,"KFC Uerdingen 05",2002-01-01,2002,2000-2005
Q18207374,"Martín Maximiliano Mantovani",Q2979816,"Kimberley de Mar del Plata",2002-01-01,2002,2000-2005
Q6967268,"Nasra Abdullah",Q634434,"LSK Kvinner FK",2002-01-01,2002,2000-2005
Q1406653,"Nicole Söder",Q820739,"SC Freiburg",2002-01-01,2002,2000-2005
Q2042973,"Nikki Krzysik",Q7009242,"New Jersey Lady Stallions",2002-01-01,2002,2000-2005
Q23018539,"Nina Patalon",Q951345,"KKPK Medyk Konin",2002-01-01,2002,2000-2005
Q3343453,"Nora Hamou Maamar",Q3085161,"Montpellier HSC",2002-01-01,2002,2000-2005
Q7132553,"Pape Seydou Diop",Q603271,"FC Aarau",2002-01-01,2002,2000-2005
Q7152934,"Paul Pettinger",Q3283867,"Telford United F.C.",2002-01-01,2002,2000-2005
Q7175605,"Peter Maguire",Q5470421,"Forres Mechanics F.C.",2002-01-01,2002,2000-2005
Q7325954,"Richard Goddard-Crawley",Q6138819,"Harrow Borough F.C.",2002-01-01,2002,2000-2005
Q7343008,"Robert Codner",Q4857156,"Banstead Athletic F.C.",2002-01-01,2002,2000-2005
Q7557720,"Solfrid Andersen",Q1974245,"Rosenborg BK Kvinner",2002-01-01,2002,2000-2005
Q7932241,"Vincenzo Maiolo",Q2703612,"Pro Sesto 1913",2002-01-01,2002,2000-2005
Q3209949,"Élodie Ramos",Q3085161,"Montpellier HSC",2002-01-01,2002,2000-2005
Q3588874,"Émilie Trimoreau",Q492372,"FCF Juvisy",2002-01-01,2002,2000-2005
Q933357,"Adama Soumaré",Q328658,"Le Havre AC",2003-01-01,2003,2000-2005
Q4716368,"Alessandro Manni",Q2524107,"S.S. Teramo Calcio",2003-01-01,2003,2000-2005
Q1680625,"Almedin Civa",Q896736,"VfB Leipzig",2003-01-01,2003,2000-2005
Q4742167,"Amela Fetahović",Q944933,"SFK 2000",2003-01-01,2003,2000-2005
Q15623168,"Ange Atsé",Q15822184,"Juventus de Yopougon",2003-01-01,2003,2000-2005
Q4762007,"Ange Oueifio",Q3100552,"Sporting Club de Bangui",2003-01-01,2003,2000-2005
Q3623549,"Arnaud Kouyo",Q13391,"US Lecce",2003-01-01,2003,2000-2005
Q519528,"Asier Riesgo",Q738846,"Basque Country regional football team",2003-01-01,2003,2000-2005
Q270776,"Azusa Iwashimizu",Q3071871,"Nippon TV Tokyo Verdy Beleza",2003-01-01,2003,2000-2005
Q16196629,"Brendan O'Connell",Q18486,"Northwich Victoria F.C.",2003-01-01,2003,2000-2005
Q514948,"Bérangère Sapowicz",Q3365295,"Paris Saint-Germain Féminine",2003-01-01,2003,2000-2005
Q2936266,"Candice Prévost",Q3365295,"Paris Saint-Germain Féminine",2003-01-01,2003,2000-2005
Q5107210,"Chris Leadbitter",Q7178069,"Peterlee Town F.C.",2003-01-01,2003,2000-2005
Q5181194,"Craig Maskell",Q2511419,"Staines Town F.C.",2003-01-01,2003,2000-2005
Q1160301,"Daniel Cartus",Q160532,"SC Paderborn 07",2003-01-01,2003,2000-2005
Q5218792,"Daniel Smith",Q2303493,"Eastleigh F.C.",2003-01-01,2003,2000-2005
Q1330602,"Elisabetta Tona",Q1157106,"Torres Calcio Femminile",2003-01-01,2003,2000-2005
Q1390861,"Fabrizio Hayer",Q316865,"SC Preußen Münster",2003-01-01,2003,2000-2005
Q5525246,"Gary Hobson",Q18302,"North Ferriby United A.F.C.",2003-01-01,2003,2000-2005
Q1594325,"Heidi Johansen",Q1439076,"Fortuna Hjørring",2003-01-01,2003,2000-2005
Q6390984,"Kenny Brown",Q5214041,"Tilbury F.C.",2003-01-01,2003,2000-2005
Q6440769,"Ksenja Povh",Q3594396,"ŽNK Krka",2003-01-01,2003,2000-2005
Q10399389,"Liam Robinson",Q5332224,"Eccleshill United F.C.",2003-01-01,2003,2000-2005
Q939352,"Lindsay Johnson",Q5794,"Everton F.C.",2003-01-01,2003,2000-2005
Q453320,"Marianne Pettersen",Q731372,"Asker Fotball",2003-01-01,2003,2000-2005
Q6762871,"Marie Herping",Q1439076,"Fortuna Hjørring",2003-01-01,2003,2000-2005
Q330831,"Marius Johnsen",Q737947,"IK Start",2003-01-01,2003,2000-2005
Q3318433,"Mohamed Benhamou",Q2016236,"ES Viry-Châtillon",2003-01-01,2003,2000-2005
Q14916924,"Ndidi Kanu",Q211912,"Odense Boldklub",2003-01-01,2003,2000-2005
Q6988468,"Neil Davis",Q2583235,"Bromsgrove Rovers F.C.",2003-01-01,2003,2000-2005
Q10472918,"Neil Tarrant",Q761498,"Drogheda United F.C.",2003-01-01,2003,2000-2005
Q27494547,"Olaitan Yusuf",Q16801873,"Pelican Stars F.C.",2003-01-01,2003,2000-2005
Q7087630,"Oliver Jandrić",Q128897,"FK Borac Banja Luka",2003-01-01,2003,2000-2005
Q3379798,"Philippe Durpes",Q1757023,"SO Romorantin",2003-01-01,2003,2000-2005
Q3480978,"Rakel Logadóttir",Q597715,Valur,2003-01-01,2003,2000-2005
Q7369436,"Ross Johnson",Q2676506,"Worthing F.C.",2003-01-01,2003,2000-2005
Q1343359,"Ryan Coiner",Q105844,"Arminia Bielefeld",2003-01-01,2003,2000-2005
Q7512878,"Signe J. Pedersen",Q211906,"Brøndby IF",2003-01-01,2003,2000-2005
Q979918,"Simone Vergassola",Q2756,"Siena FC",2003-01-01,2003,2000-2005
Q7563072,"Sophie Svaluto",Q492372,"FCF Juvisy",2003-01-01,2003,2000-2005
Q7608774,"Stephen Broad",Q1988619,"Kingstonian F.C.",2003-01-01,2003,2000-2005
Q311951,"Steven Taylor",Q18716,"Newcastle United F.C.",2003-01-01,2003,2000-2005
Q1295528,"Szilvia Szeitl",Q162221,"1. FC Femina",2003-01-01,2003,2000-2005
Q4989314,"Vanessa Mångsén",Q2478264,"Umeå Södra FF",2003-01-01,2003,2000-2005
Q4697539,"Aintzane Encinas",Q5549552,"Real Sociedad",2004-01-01,2004,2000-2005
Q3608528,"Alberto Pomini",Q8603,"US Sassuolo Calcio",2004-01-01,2004,2000-2005
Q4716368,"Alessandro Manni",Q1052365,"Città di Acireale 1946",2004-01-01,2004,2000-2005
Q276731,"Alexander Meier",Q38245,"Eintracht Frankfurt",2004-01-01,2004,2000-2005
Q2275872,"Amaia Olabarrieta",Q780121,"Athletic Club Femenino",2004-01-01,2004,2000-2005
Q4755015,"Andrea Chiopris Gori",Q289656,"A.C. Prato",2004-01-01,2004,2000-2005
Q981400,"Anna Gawrońska",Q951345,"KKPK Medyk Konin",2004-01-01,2004,2000-2005
Q3623549,"Arnaud Kouyo",Q490586,"R.A.E.C. Mons",2004-01-01,2004,2000-2005
Q1175536,"Boglárka Megyeri",Q1412789,"Viktória Szombathely",2004-01-01,2004,2000-2005
Q5040237,"Carl Griffiths",Q18508,"Braintree Town F.C.",2004-01-01,2004,2000-2005
Q1044334,"Carolin Riegel",Q464406,"TSV Crailsheim",2004-01-01,2004,2000-2005
Q1077934,"Chrissovalantis Anagnostou",Q157464,"KFC Uerdingen 05",2004-01-01,2004,2000-2005
Q5111768,"Christophe Himmer",Q822021,"Tours FC.",2004-01-01,2004,2000-2005
Q558965,"Daniel Sjölund",Q622430,"Djurgårdens IF Fotboll",2004-01-01,2004,2000-2005
Q20641509,"Daniel Sofer",Q20988702,"Maccabi Kishronot Hadera F.C.",2004-01-01,2004,2000-2005
Q5220443,"Danny Hinshelwood",Q6415033,"Selsey F.C.",2004-01-01,2004,2000-2005
Q2109447,"Davy Oyen",Q1668203,"Lommel SK",2004-01-01,2004,2000-2005
Q5358982,"Elena Cester",Q3626853,"ASDC Chiasiellis",2004-01-01,2004,2000-2005
Q636518,"Emma Fernon",Q1529496,"Glasgow City F.C.",2004-01-01,2004,2000-2005
Q1229558,"Eszter Papp",Q1412789,"Viktória Szombathely",2004-01-01,2004,2000-2005
Q15809340,"Fatou Coulibaly",Q15822184,"Juventus de Yopougon",2004-01-01,2004,2000-2005
Q609123,"Frédéric Machado",Q116332,"Gap FC",2004-01-01,2004,2000-2005
Q5563504,"Giorgio Santarelli",Q2118510,"Latina Calcio 1932",2004-01-01,2004,2000-2005
Q1551149,"Gry Tofte Ims",Q1474411,"Klepp IL",2004-01-01,2004,2000-2005
Q5694091,"Heather Scheuber",Q847113,"Birmingham City W.F.C.",2004-01-01,2004,2000-2005
Q6095659,"Iva Mocová",Q2819078,"AC Sparta Prague (women)",2004-01-01,2004,2000-2005
Q773562,"James Coppinger",Q19589,"Doncaster Rovers F.C.",2004-01-01,2004,2000-2005
Q6162662,"Jason Harris",Q7447562,"Selby Town F.C.",2004-01-01,2004,2000-2005
Q27580545,"Jeanne Alexise Gnago",Q15822184,"Juventus de Yopougon",2004-01-01,2004,2000-2005
Q6214276,"Joey Beauchamp",Q4667846,"Abingdon Town F.C.",2004-01-01,2004,2000-2005
Q23416202,"John Westcott",Q4118937,"Horsham F.C.",2004-01-01,2004,2000-2005
Q1351998,"Jonathan Joubert",Q221752,"F91 Dudelange",2004-01-01,2004,2000-2005
Q273681,"Julie Fleeting",Q9617,"Arsenal F.C.",2004-01-01,2004,2000-2005
Q6309263,"Julio César Valdivia",Q845859,"Cruz Azul",2004-01-01,2004,2000-2005
Q690663,"Julián Speroni",Q19467,"Crystal Palace F.C.",2004-01-01,2004,2000-2005
Q794410,"Júlia Bezsenyi",Q5425190,"FC Südburgenland",2004-01-01,2004,2000-2005
Q20641072,"Kim Jung-mi",Q5962677,"Incheon Hyundai Steel Red Angels WFC",2004-01-01,2004,2000-2005
Q6498906,"Laura Folch",Q5010147,"Zaragoza Club de Fútbol Femenino",2004-01-01,2004,2000-2005
Q6514624,"Lee Myung-hwa",Q9210123,"Seoul Metropolitan Government Amazones WFC",2004-01-01,2004,2000-2005
Q10399389,"Liam Robinson",Q5290448,"Rossendale United F.C.",2004-01-01,2004,2000-2005
Q6753057,"Manuela Zürcher",Q683812,"FC Zürich Frauen",2004-01-01,2004,2000-2005
Q6762623,"Marie-Andrea Egli",Q7389380,"SC Kriens",2004-01-01,2004,2000-2005
Q97694677,"Marina Luchenok",Q2839065,Alma-KTZH,2004-01-01,2004,2000-2005
Q6770218,"Mark Walton",Q4890444,"Bentleigh Greens",2004-01-01,2004,2000-2005
Q1909835,"Matthias Dworschak",Q162220,"1. FC Eschborn",2004-01-01,2004,2000-2005
Q6828340,"Michael Bacher",Q1387710,"F.C. Südtirol",2004-01-01,2004,2000-2005
Q983931,"Michael Duff",Q19458,"Burnley F.C.",2004-01-01,2004,2000-2005
Q201910,"Miloš Krasić",Q3590363,"Serbia Olympic football team",2004-01-01,2004,2000-2005
Q4359390,"Natalia Pertseva",Q1332206,"WFC Rossiyanka",2004-01-01,2004,2000-2005
Q6968133,"Natalie Brewer",Q2905545,"Blackburn Rovers W.F.C.",2004-01-01,2004,2000-2005
Q6969366,"Nathan Talbott",Q18304,"Stafford Rangers F.C.",2004-01-01,2004,2000-2005
Q867614,"Nonna Debonne",Q3365295,"Paris Saint-Germain Féminine",2004-01-01,2004,2000-2005
Q60682,"Pantxi Sirieix",Q19518,"Toulouse FC",2004-01-01,2004,2000-2005
Q7154330,"Paul Wheatcroft",Q18330,"Radcliffe F.C.",2004-01-01,2004,2000-2005
Q7178618,"Petra Bertholdová",Q2819078,"AC Sparta Prague (women)",2004-01-01,2004,2000-2005
Q7340189,"Rob Haworth",Q6400810,"Metropolitan Police F.C.",2004-01-01,2004,2000-2005
Q2728781,"Simone Gomes Jatobá",Q3421298,"Rayo Vallecano",2004-01-01,2004,2000-2005
Q3510283,"Sébastien Renaud",Q2155470,"ASOA Valence",2004-01-01,2004,2000-2005
Q2380010,"Sören Seidel",Q162270,"1. FC Kleve",2004-01-01,2004,2000-2005
Q664703,"Thomas Kessler",Q104770,"1. FC Köln",2004-01-01,2004,2000-2005
Q664703,"Thomas Kessler",Q15972883,"1. FC Köln II",2004-01-01,2004,2000-2005
Q7810596,"Tjaša Tibaut",Q3594397,"ŽNK Pomurje",2004-01-01,2004,2000-2005
Q7922516,"Veronika Pincová",Q3459690,"SK Slavia Praha",2004-01-01,2004,2000-2005
Q4025017,"Zuriñe Gil García",Q780121,"Athletic Club Femenino",2004-01-01,2004,2000-2005
Q4716368,"Alessandro Manni",Q1435421,"Foligno Calcio",2005-01-01,2005,2000-2005
Q4226392,"Anna Kozhnikova",Q1332206,"WFC Rossiyanka",2005-01-01,2005,2000-2005
Q433176,"Anneli Giske",Q635092,"IF Fløya",2005-01-01,2005,2000-2005
Q3623549,"Arnaud Kouyo",Q612172,"FK Baník Most",2005-01-01,2005,2000-2005
Q4820118,"Audrey Février",Q930072,"En avant Guingamp",2005-01-01,2005,2000-2005
Q4954490,"Carina Holmberg",Q502628,"Sunnanå SK",2005-01-01,2005,2000-2005
Q14917591,"Chi-Chi Igbo",Q1439076,"Fortuna Hjørring",2005-01-01,2005,2000-2005
Q5107210,"Chris Leadbitter",Q5616667,"Guisborough Town F.C.",2005-01-01,2005,2000-2005
Q5200692,"Cyril Dubroca",Q3232975,"Genêts Anglet",2005-01-01,2005,2000-2005
Q5271268,"Diana Petrakieva",Q1163554,"FC NSA Sofia",2005-01-01,2005,2000-2005
Q97669968,"Diyana Tropnikava",Q17094106,Zorka-BDU,2005-01-01,2005,2000-2005
Q97007796,"Ekaterina Kuchinskaya",Q2712628,"Universitet Vitebsk",2005-01-01,2005,2000-2005
Q19402522,"Elena Cascarano",Q3747648,"FC Como Women",2005-01-01,2005,2000-2005
Q5389230,"Erin Vaughan",Q4811037,"Aston Villa W.F.C.",2005-01-01,2005,2000-2005
Q3750189,"Francesco Magnanelli",Q8603,"US Sassuolo Calcio",2005-01-01,2005,2000-2005
Q10493378,"Gilles Doucende",Q3550492,"US Le Pontet",2005-01-01,2005,2000-2005
Q31828411,"Jason Barnett",Q5330540,"Spalding United F.C.",2005-01-01,2005,2000-2005
Q604384,"Javier del Pino González",Q12158,"Club Deportivo Numancia de Soria",2005-01-01,2005,2000-2005
Q444055,"Johanna Almgren",Q1337348,"BK Häcken FF",2005-01-01,2005,2000-2005
Q276078,"Karolina Westberg",Q20792292,"Umeå IK",2005-01-01,2005,2000-2005
Q331953,"Kazuyoshi Miura",Q1062259,"Yokohama FC",2005-01-01,2005,2000-2005
Q6386047,"Kelly Golebiowski",Q5646289,"Hampton Roads Piranhas",2005-01-01,2005,2000-2005
Q6396485,"Kevin Henderson",Q6913343,"Morpeth Town A.F.C.",2005-01-01,2005,2000-2005
Q268375,"Laure Boulleau",Q3365295,"Paris Saint-Germain Féminine",2005-01-01,2005,2000-2005
Q6698966,"Ludovic Mary",Q3550486,"US Colomiers Football",2005-01-01,2005,2000-2005
Q15833067,"Lydie Saki",Q15822184,"Juventus de Yopougon",2005-01-01,2005,2000-2005
Q60615,"Marcos Roberto Pereira dos Santos",Q44897,"Espérance Sportive de Tunis",2005-01-01,2005,2000-2005
Q10421055,"Marianne Paulsen",Q1974245,"Rosenborg BK Kvinner",2005-01-01,2005,2000-2005
Q456507,"Marie Hammarström",Q1389112,"KIF Örebro DFF",2005-01-01,2005,2000-2005
Q10524848,"Mariví Simó",Q3558590,"Levante UD Women",2005-01-01,2005,2000-2005
Q6767967,"Mark Hawthorne",Q4118937,"Horsham F.C.",2005-01-01,2005,2000-2005
Q10514748,"Melanie Garside-Wight",Q4954630,"Bradford City W.F.C.",2005-01-01,2005,2000-2005
Q2373593,"Mika Ääritalo",Q223813,"TPS Turku",2005-01-01,2005,2000-2005
Q4300230,"Natalia Shlyapina",Q1332206,"WFC Rossiyanka",2005-01-01,2005,2000-2005
Q15623176,"Rachel Bancouly",Q15822184,"Juventus de Yopougon",2005-01-01,2005,2000-2005
Q10883,"Rachel Yankey",Q1775265,"Arsenal W.F.C.",2005-01-01,2005,2000-2005
Q15823995,"Raymonde Kacou",Q15822184,"Juventus de Yopougon",2005-01-01,2005,2000-2005
Q316772,"Raúl García",Q738846,"Basque Country regional football team",2005-01-01,2005,2000-2005
Q1699497,"Reinhold Daschner",Q162242,"1. FC Hersbruck",2005-01-01,2005,2000-2005
Q7324882,"Richard Cooper",Q18289,"Eastwood Town F.C.",2005-01-01,2005,2000-2005
Q15622704,"Rita Akaffou",Q15822184,"Juventus de Yopougon",2005-01-01,2005,2000-2005
Q7340967,"Robbie Painter",Q4132020,"Guiseley A.F.C.",2005-01-01,2005,2000-2005
Q775458,"Sabrina Delannoy",Q3365295,"Paris Saint-Germain Féminine",2005-01-01,2005,2000-2005
Q2221088,"Sandra Schmidt",Q820739,"SC Freiburg",2005-01-01,2005,2000-2005
Q3480493,"Sandra Sigurðardóttir",Q7617707,Stjarnan,2005-01-01,2005,2000-2005
Q1764980,"Sara Lindén",Q1337348,"BK Häcken FF",2005-01-01,2005,2000-2005
Q446230,"Saskia Bartusiak",Q162449,"1. FFC Frankfurt",2005-01-01,2005,2000-2005
Q7448471,"Selina Zumbühl",Q683812,"FC Zürich Frauen",2005-01-01,2005,2000-2005
Q16606244,"Silvia Dargenio",Q3626866,"Inter Women",2005-01-01,2005,2000-2005
Q7517034,"Silvia Radoyska",Q1163554,"FC NSA Sofia",2005-01-01,2005,2000-2005
Q2728781,"Simone Gomes Jatobá",Q1276685,"OL Lyonnes",2005-01-01,2005,2000-2005
Q4356082,"Simone Sannibale",Q2609,"SS Lazio",2005-01-01,2005,2000-2005
Q572260,"Sone Aluko",Q19444,"Birmingham City F.C.",2005-01-01,2005,2000-2005
Q7609529,"Stephen Hughes",Q1131109,"Maidenhead United F.C.",2005-01-01,2005,2000-2005
Q7648763,"Susanne Graversen",Q750031,"IK Skovbakken",2005-01-01,2005,2000-2005
Q97694717,"Svetlana Novikova",Q2712628,"Universitet Vitebsk",2005-01-01,2005,2000-2005
Q7929922,"Viktorija Budrytė",Q280811,"Gintra Universitetas",2005-01-01,2005,2000-2005
Q7932241,"Vincenzo Maiolo",Q289289,"A.C. Legnano",2005-01-01,2005,2000-2005
Q312374,"Aleksandar Luković",Q2798,"Udinese Calcio",2006-01-01,2006,2006-2010
Q471959,"Amir Akrout",Q1851954,"Stade Tunisien",2006-01-01,2006,2006-2010
Q4755015,"Andrea Chiopris Gori",Q1083326,"Atessa Val di Sangro S.S.D.",2006-01-01,2006,2006-2010
Q4755082,"Andrea Ferrari",Q1886,"Atalanta BC",2006-01-01,2006,2006-2010
Q2846400,"Andrea Pisani",Q1422,"Juventus FC",2006-01-01,2006,2006-2010
Q4761549,"Ane Bergara",Q4867850,"Basque Country women's regional association football team",2006-01-01,2006,2006-2010
Q891120,"Antonio Gonzales",Q19066,"Club Universitario de Deportes",2006-01-01,2006,2006-2010
Q768327,"Augustine Simo",Q690082,"Urania Genève Sport",2006-01-01,2006,2006-2010
Q4890111,"Benoit Mourlon",Q182876,"AJ Auxerre",2006-01-01,2006,2006-2010
Q3658873,"Carlalberto Ludi",Q8416,"Novara Calcio",2006-01-01,2006,2006-2010
Q5065957,"Cha Yun-hee",Q5590178,"Icheon Daekyo WFC",2006-01-01,2006,2006-2010
Q5106179,"Chris Clarke",Q896965,"Bradford (Park Avenue) A.F.C.",2006-01-01,2006,2006-2010
Q349438,"Christian Dorda",Q13397712,"Borussia Mönchengladbach II",2006-01-01,2006,2006-2010
Q63873,"Christofer Heimeroth",Q101959,"Borussia Mönchengladbach",2006-01-01,2006,2006-2010
Q2470027,"Christopher Kanu",Q1236452,"Dolphins F.C.",2006-01-01,2006,2006-2010
Q779747,"Claudio Vargas",Q2798,"Udinese Calcio",2006-01-01,2006,2006-2010
Q5181147,"Craig Lawton",Q280727,"Bala Town F.C.",2006-01-01,2006,2006-2010
Q940133,"Cédrick Fiston",Q4652076,"AJSS Saintes",2006-01-01,2006,2006-2010
Q5214760,"Dana Kerem",Q2819402,"ASA Tel Aviv University",2006-01-01,2006,2006-2010
Q1163488,"Daniela Mona Lambin",Q5425032,"FC Levadia Tallinn",2006-01-01,2006,2006-2010
Q5225120,"Darren Roberts",Q18493,"Sutton Coldfield Town F.C.",2006-01-01,2006,2006-2010
Q1175151,"David Ledy",Q126334,"RC Strasbourg Alsace",2006-01-01,2006,2006-2010
Q5240474,"David Town",Q2975925,"Dorchester Town F.C.",2006-01-01,2006,2006-2010
Q1134213,"Davide Bottone",Q2768,"Torino FC",2006-01-01,2006,2006-2010
Q5257634,"Denise Campbell",Q2905545,"Blackburn Rovers W.F.C.",2006-01-01,2006,2006-2010
Q16227926,"Didem Taş",Q6045389,"Konak Belediyespor",2006-01-01,2006,2006-2010
Q18747440,"Eleonora Benucci",Q3625888,"A.C.F. Firenze",2006-01-01,2006,2006-2010
Q18811794,"Eleonora Binazzi",Q3625888,"A.C.F. Firenze",2006-01-01,2006,2006-2010
Q1337293,"Emiliano Bonazzoli",Q1457,"U.C. Sampdoria",2006-01-01,2006,2006-2010
Q1341095,"Eneli Sarv",Q222861,"FC Flora Tallinn",2006-01-01,2006,2006-2010
Q3063630,"Fabien Leclercq",Q116332,"Gap FC",2006-01-01,2006,2006-2010
Q5503482,"Friday Camaclang",Q4967588,"Brighton & Hove Albion W.F.C.",2006-01-01,2006,2006-2010
Q4947017,"Gabrielle Eriksson",Q2366321,"Sundsvalls DFF",2006-01-01,2006,2006-2010
Q5563504,"Giorgio Santarelli",Q433529,"Atletico Roma F.C.",2006-01-01,2006,2006-2010
